Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
José Luiz de França Penna (Penna),Deputado Federal - PV,200,60,0,0,-50,10,-22,198
Marco Antônio Feliciano (Pastor Marco Feliciano),Deputado Federal - PSC,200,15,15,-30,-75,20,54,199
Eduardo Matarazzo Suplicy (Eduardo Suplicy),Senador - PT,200,Não disponível,40,20,0,10,-69,201
Jean Wyllys de Matos Santos (Jean Wyllys),Deputado Federal - PSOL,200,20,20,10,0,20,-69,201
Luiz Fernando Arantes Machado (Luiz Fernando Machado),Deputado Federal - PSDB,200,10,15,0,-50,10,16,201
Delcídio do Amaral Gomez (Delcídio do Amaral),Senador - PT,200,Não disponível,-50,-10,-25,10,77,202
Maria de Fátima Bezerra (Fátima Bezerra),Deputado Federal - PT,200,15,-35,0,0,20,2,202
Anderson Ferreira Rodrigues (Anderson Ferreira),Deputado Federal - PR,200,-40,5,0,0,10,28,203
Edson Silva (Edson Silva),Deputado Federal - PROS,200,-20,35,0,0,-20,8,203
Raimundo Coimbra Júnior (Júnior Coimbra),Deputado Federal - PMDB,200,20,0,0,-100,20,63,203
Antonio Carlos Biffi (Biffi),Deputado Federal - PT,200,5,-35,0,0,10,24,204
Luiz Alberto Silva Dos Santos (Luiz Alberto),Deputado Federal - PT,200,45,-40,0,0,0,0,205
Mara Cristina Gabrilli (Mara Gabrilli ),Deputado Federal - PSDB,200,-40,15,0,0,20,11,206
Florisvaldo Fier (Dr. Rosinha),Deputado Federal - PT,200,20,-5,0,0,20,-28,207
Francisco Danilo Bastos Forte (Danilo Forte),Deputado Federal - PMDB,200,45,0,0,-100,20,42,207
Gabriel Guimarães de Andrade (Gabriel Guimarães),Deputado Federal - PT,200,5,15,0,0,20,-33,207
Geraldo Thadeu Pedreira Dos Santos (Geraldo Thadeu),Deputado Federal - PSD,200,20,-40,0,-25,0,52,207
José Wilson Santiago Filho (Wilson Filho),Deputado Federal - PTB,200,-5,5,0,0,20,-12,208
José Carlos Leão de Araújo (José Carlos Araújo),Deputado Federal - PSD,200,70,-40,0,0,0,-21,209
Rogério Mendonça (Rogério Peninha Mendonça),Deputado Federal - PMDB,200,30,5,0,-50,0,24,209
Jorge Ricardo Bittar (Jorge Bittar),Deputado Federal - PT,200,40,50,0,0,20,-100,210
Pedro Fernandes Ribeiro (Pedro Fernandes),Deputado Federal - PTB,200,75,50,0,-100,-10,-5,210
Ruy Manuel Carneiro Barbosa de Aca Belchior (Ruy Carneiro),Deputado Federal - PSDB,200,5,0,10,0,0,-4,211
Carlos Alberto Lopes (Dr. Carlos Alberto),Deputado Federal - PMN,200,30,35,0,0,20,-73,212
Blairo Borges Maggi (Blairo Maggi),Senador - PR,200,Não disponível,100,0,-150,10,53,213
Rodrigo Batista de Castro (Rodrigo de Castro),Deputado Federal - PSDB,200,-70,-15,0,0,0,98,213
Arthur de Oliveira Maia da Silva (Arthur Oliveira Maia),Deputado Federal - SDD,200,-10,10,0,-25,-20,59,214
José Eleonildo Soares (Pinto Itamaraty),Deputado Federal - PSDB,200,-95,-40,0,0,10,139,214
érika Jucá Kokay (Erika Kokay),Deputado Federal - PT,200,85,30,0,-125,20,5,215
Reinhold Stephanes (Reinhold Stephanes),Deputado Federal - PSD,200,30,35,0,0,-20,-30,215
Stepan Nercessian (Stepan Nercessian),Deputado Federal - PPS,200,5,30,0,0,0,-20,215
Vilmar da Silva Rocha (Vilmar Rocha),Deputado Federal - PSD,200,-70,90,0,-25,0,21,216
Fernando Destito Francischini (Fernando Francischini),Deputado Federal - SDD,200,-25,15,0,0,0,27,217
Marllos Rossano Ribeiro Gonçalves de Sampaio (Marllos Sampaio),Deputado Federal - PMDB,200,-45,-5,0,0,20,47,217
Anibal Diniz (Anibal Diniz),Senador - PT,200,Não disponível,-25,-10,0,20,33,218
João Alberto de Souza (João Alberto Souza),Senador - PMDB,200,Não disponível,20,0,0,10,-12,218
Amir Francisco Lando (Amir Lando),Deputado Federal - PMDB,200,-115,70,0,0,20,45,220
Esperidião Amin Helou Filho (Esperidião Amin),Deputado Federal - PP,200,70,15,0,-125,-10,71,221
José Silva Soares (Zé Silva),Deputado Federal - PDT,200,15,40,0,-25,10,-18,222
Ivan Valente (Ivan Valente),Deputado Federal - PSOL,200,80,-15,10,0,10,-61,224
Jorge Silva (Dr. Jorge Silva),Deputado Federal - PROS,200,10,15,0,0,-20,19,224
Lúcio Quadros Vieira Lima (Lucio Vieira Lima),Deputado Federal - PMDB,200,10,25,0,-25,0,14,224
José Humberto Soares (José Humberto),Deputado Federal - PHS,200,45,15,0,-50,10,5,225
Leonardo Carneiro Monteiro Picciani (Leonardo Picciani),Deputado Federal - PMDB,200,0,40,0,0,20,-35,225
Maria Aparecida Borghetti (Cida Borghetti),Deputado Federal - PROS,200,15,20,0,0,-10,1,226
Paulo Roberto Davim (Paulo Davim),Senador - PV,200,Não disponível,25,0,-25,10,16,226
Francisco Rodrigues de Alencar Filho (Chico Alencar),Deputado Federal - PSOL,200,40,20,10,0,0,-43,227
Nelson Padovani (Nelson Padovani),Deputado Federal - PSC,200,-10,5,0,0,20,12,227
Onyx Dornelles Lorenzoni (Onyx Lorenzoni),Deputado Federal - DEM,200,-5,-40,0,0,0,72,227
Artur José Vieira Bruno (Artur Bruno),Deputado Federal - PT,200,0,-5,0,0,20,15,230
José Benito Priante Júnior (José Priante),Deputado Federal - PMDB,200,-85,60,0,0,10,45,230
Alfredo Helio Syrkis (Alfredo Sirkis),Deputado Federal - PSB,200,35,20,0,-25,10,-9,231
Paulo Roberto Foletto (Paulo Foletto),Deputado Federal - PSB,200,65,10,0,0,20,-64,231
Diego Leonardo de Andrade Carvalho (Diego Andrade),Deputado Federal - PSD,200,0,10,0,0,10,12,232
Onofre Santo Agustini (Onofre Santo Agostini),Deputado Federal - PSD,200,80,10,0,-100,-10,52,232
Arolde de Oliveira (Arolde de Oliveira),Deputado Federal - PSD,200,20,-5,0,0,-10,28,233
Carlos Henrique Focesi Sampaio (Carlos Sampaio),Deputado Federal - PSDB,200,-40,10,0,-50,20,93,233
José Carlos Becker de Oliveira E Silva (Zeca Dirceu),Deputado Federal - PT,200,0,5,0,0,20,8,233
Rodrigo Bethlem Fernandes (Rodrigo Bethlem),Deputado Federal - PMDB,200,-55,80,0,0,0,8,233
Gastão Dias Vieira (Gastão Vieira),Deputado Federal - PMDB,200,20,60,0,0,-20,-26,234
Laercio José de Oliveira (Laercio Oliveira),Deputado Federal - SDD,200,10,5,0,0,0,20,235
Paulo Wagner Leite Dantas (Paulo Wagner),Deputado Federal - PV,200,20,-10,0,0,20,5,235
Eros Ferreira Biondini (Eros Biondini),Deputado Federal - PTB,200,-10,55,0,0,10,-19,236
Flávia Carreiro Albuquerque Morais (Flávia Morais),Deputado Federal - PDT,200,40,10,0,-25,10,1,236
Marcus Vinícius Caetano Pestana da Silva (Marcus Pestana),Deputado Federal - PSDB,200,-15,20,0,0,10,21,236
Vicente Cândido da Silva (Vicente Candido),Deputado Federal - PT,200,25,10,0,-25,20,6,236
Márcio Costa Macêdo (Márcio Macêdo),Deputado Federal - PT,200,40,-5,0,-50,20,32,237
Ronaldo José Benedet (Ronaldo Benedet),Deputado Federal - PMDB,200,25,0,0,-50,0,62,237
Roberto Sérgio Ribeiro Coutinho Teixeira (Roberto Teixeira),Deputado Federal - PP,200,25,10,0,0,0,3,238
Salvador Zimbaldi Filho (Salvador Zimbaldi),Deputado Federal - PROS,200,35,15,0,0,-30,18,238
Paulo Abi-ackel (Paulo Abi-ackel),Deputado Federal - PSDB,200,-65,-35,10,0,-10,139,239
José Agripino Maia (José Agripino),Senador - DEM,200,Não disponível,-25,-10,0,10,67,242
Lúcia Vânia Abrão (Lúcia Vânia),Senador - PSDB,200,Não disponível,-30,0,-25,-10,107,242
Waldenor Alves Pereira Filho (Waldenor Pereira),Deputado Federal - PT,200,25,10,0,0,0,8,243
Renato Simões (Renato Simões),Deputado Federal - PT,200,-30,80,0,0,20,-26,244
Eleuses Vieira de Paiva (Eleuses Paiva),Deputado Federal - PSD,200,35,-5,0,-25,0,41,246
Heuler Abreu Cruvinel (Heuler Cruvinel),Deputado Federal - PSD,200,5,10,0,0,20,11,246
Rodrigo Felinto Ibarra Epitácio Maia (Rodrigo Maia),Deputado Federal - DEM,200,-15,-15,0,0,-20,97,247
Arnaldo Jordy Figueiredo (Arnaldo Jordy),Deputado Federal - PPS,200,25,5,0,0,0,18,248
Francisco Luiz Escórcio Lima (Francisco Escórcio),Deputado Federal - PMDB,200,5,5,0,-25,0,63,248
Hugo Motta Wanderley da Nóbrega (Hugo Motta),Deputado Federal - PMDB,200,25,0,0,0,10,13,248
João Carlos Siqueira (Padre João),Deputado Federal - PT,200,10,10,10,0,20,-1,249
Edmar de Souza Arruda (Edmar Arruda),Deputado Federal - PSC,200,0,10,10,0,0,30,250
José Alberto Oliveira Veloso Filho (Alberto Filho),Deputado Federal - PMDB,200,20,15,-10,0,10,15,250
Sebastião Sibá Machado Oliveira (Sibá Machado),Deputado Federal - PT,200,0,5,0,0,20,25,250
Pedro Jorge Simon (Pedro Simon),Senador - PMDB,200,Não disponível,85,-25,0,10,-19,251
Emiliano José da Silva Filho (Emiliano José),Deputado Federal - PT,200,0,40,0,0,10,2,252
José de Araújo Mendonça Sobrinho (Mendonça Prado),Deputado Federal - DEM,200,-25,-50,0,0,10,119,254
Luiz Henrique Mandetta (Mandetta),Deputado Federal - DEM,200,20,5,-10,0,20,19,254
Wandenkolk Pasteur Gonçalves (Wandenkolk Gonçalves),Deputado Federal - PSDB,200,-20,-45,0,-25,20,125,255
David Samuel Alcolumbre Tobelem (Davi Alcolumbre),Deputado Federal - DEM,200,-35,-25,0,0,-10,126,256
Pauderney Tomaz Avelino (Pauderney Avelino),Deputado Federal - DEM,200,45,50,0,-25,-20,6,256
Felix de Almeida Mendonça Júnior (Félix Mendonça Júnior),Deputado Federal - PDT,200,80,15,0,-75,10,27,257
Nilmário de Miranda (Nilmário Miranda),Deputado Federal - PT,200,-15,60,0,0,20,-8,257
Jorginho Dos Santos Mello (Jorginho Mello),Deputado Federal - PR,200,20,10,0,0,0,28,258
Andreia Almeida Zito Dos Santos (Andreia Zito),Deputado Federal - PSDB,200,-85,-5,0,0,20,129,259
Stefano Aguiar Dos Santos (Stefano Aguiar),Deputado Federal - PSB,200,-25,45,0,0,20,19,259
Akira Otsubo (Akira Otsubo),Deputado Federal - PMDB,200,-35,55,0,0,-10,51,261
Jose Simplicio Alves de Araujo (Simplício Araújo),Deputado Federal - SDD,200,-15,50,0,0,0,28,263
Rui Costa Dos Santos (Rui Costa),Deputado Federal - PSDB,200,15,80,0,-50,20,-2,263
Jorge de Oliveira (Zoinho),Deputado Federal - PR,200,70,20,0,-25,-20,19,264
Casildo João Maldaner (Casildo Maldaner),Senador - PMDB,200,Não disponível,5,10,0,20,30,265
Arnaldo Faria de Sá (Arnaldo Faria de Sá),Deputado Federal - PTB,200,50,20,0,0,-30,26,266
Eduardo Luiz Barros Barbosa (Eduardo Barbosa),Deputado Federal - PSDB,200,60,-25,0,-100,20,111,266
Iolanda Keiko Miashiro Ota (Keiko Ota),Deputado Federal - PSB,200,60,10,0,0,20,-24,266
Ronaldo Ramos Caiado (Ronaldo Caiado),Deputado Federal - DEM,200,5,-15,10,-100,0,166,266
Ruben Figueiró de Oliveira (Ruben Figueiró),Senador - PSDB,200,Não disponível,70,0,0,-20,17,267
José Nunes Soares (José Nunes),Deputado Federal - PSD,200,10,5,0,0,0,54,269
André Peixoto Figueiredo Lima (André Figueiredo),Deputado Federal - PDT,200,55,0,0,0,10,6,271
Nelson Marchezan Júnior (Nelson Marchezan Junior),Deputado Federal - PSDB,200,25,5,0,0,20,22,272
Efraim de Araújo Morais Filho (Efraim Filho),Deputado Federal - DEM,200,20,-45,0,0,0,98,273
Paulo Fernando Dos Santos (Paulão),Deputado Federal - PT,200,10,50,0,0,20,-7,273
Roberto Alves de Lucena (Roberto de Lucena),Deputado Federal - PV,200,75,5,0,0,0,-5,275
Paulo Roberto Freire da Costa (Paulo Freire),Deputado Federal - PR,200,10,10,0,0,10,47,277
Ricardo de Rezende Ferraço (Ricardo Ferraço),Senador - PMDB,200,Não disponível,30,0,0,-20,70,280
Sergio Zveiter (Sergio Zveiter),Deputado Federal - PSD,200,-40,75,-10,0,0,55,280
Danilo Jorge de Barros Cabral (Danilo Cabral),Deputado Federal - PSB,200,-20,100,0,0,10,-8,282
Ricardo Izar Junior (Ricardo Izar),Deputado Federal - PSD,200,55,15,10,0,0,2,282
Roberto Dorner (Roberto Dorner),Deputado Federal - PSD,200,50,65,0,-25,0,-7,283
José Sarney (José Sarney),Senador - PMDB,200,Não disponível,75,-50,-25,-10,94,284
Arnaldo Calil Pereira Jardim (Arnaldo Jardim),Deputado Federal - PPS,200,15,-25,0,0,10,85,285
João Campos de Araújo (João Campos),Deputado Federal - PSDB,200,-5,-25,0,0,20,95,285
Wilder Pedro de Morais (Wilder Morais),Senador - DEM,200,Não disponível,75,-10,0,20,0,285
Otavio Santos Silva Leite (Otavio Leite),Deputado Federal - PSDB,200,10,-20,0,-25,10,111,286
Aécio Neves da Cunha (Aécio Neves),Senador - PSDB,200,Não disponível,20,0,0,10,57,287
Mario Feitoza de Carvalho Freitas (Mário Feitoza),Deputado Federal - PMDB,200,50,35,0,-25,10,18,288
Vitor Paulo Araújo Dos Santos (Vitor Paulo),Deputado Federal - PRB,200,45,25,0,-25,10,33,288
Weliton Fernandes Prado (Weliton Prado),Deputado Federal - PT,200,55,25,-10,0,20,-1,289
André Zacharow (André Zacharow),Deputado Federal - PMDB,200,0,-10,-10,0,20,90,290
José Mendonça Bezerra Filho (Mendonça Filho),Deputado Federal - DEM,200,15,5,0,0,10,60,290
Luiz Hiloshi Nishimori (Luiz Nishimori),Deputado Federal - PR,200,45,0,0,-25,10,60,290
Maria Lucia Prandi Gomes (Maria Lucia Prandi),Deputado Federal - PT,200,0,85,0,0,10,-5,290
Aguinaldo Velloso Borges Ribeiro (Aguinaldo Ribeiro),Deputado Federal - PP,200,20,80,0,-25,20,-4,291
César Roberto Colnaghi (Cesar Colnago),Deputado Federal - PSDB,200,20,20,0,0,0,51,291
Lauriete Rodrigues Pinto (Lauriete),Deputado Federal - PSC,200,25,45,-10,0,10,21,291
Alexandre Leite da Silva (Alexandre Leite),Deputado Federal - DEM,200,70,25,10,-100,10,77,292
Jorge Tadeu Mudalen (Jorge Tadeu Mudalen),Deputado Federal - DEM,200,15,5,0,0,-20,92,292
Jutahy Magalhães Júnior (Jutahy Junior),Deputado Federal - PSDB,200,-15,-35,0,0,0,142,292
Danrlei de Deus Hinterholz (Danrlei de Deus Hinterholz),Deputado Federal - PSD,200,35,25,0,0,0,33,293
João Dudimar de Azevedo Paxiúba (Dudimar Paxiuba),Deputado Federal - PROS,200,45,10,0,0,-10,48,293
José Carlos Vaz de Lima (Vaz de Lima),Deputado Federal - PSDB,200,45,15,0,0,20,13,293
Thiago Mello Peixoto da Silveira (Thiago Peixoto),Deputado Federal - PSD,200,30,85,0,-25,10,-6,294
Romario de Souza Faria (Romário),Deputado Federal - PSB,200,65,15,30,0,10,-25,295
André Carlos Alves de Paula Filho (André de Paula),Deputado Federal - DEM,200,0,40,0,0,-10,69,299
Raul Jean Louis Henry Júnior (Raul Henry),Deputado Federal - PMDB,200,5,-45,0,0,20,123,303
Rodrigo Moreira Ladeira Grilo (Dr. Grilo),Deputado Federal - SDD,200,60,20,0,0,0,23,303
Hélio Batista Dos Santos (Hélio Santos),Deputado Federal - PSDB,200,15,5,0,0,0,84,304
Cleusa Rosane Ribas Ferreira (Rosane Ferreira),Deputado Federal - PV,200,75,35,0,0,20,-23,307
Gleisi Helena Hoffmann (Gleisi Hoffmann),Senador - PT,200,Não disponível,95,0,0,20,-8,307
Antonio Luiz Paranhos Ribeiro Leite de Brito (Antonio Brito),Deputado Federal - PTB,200,60,10,0,0,20,18,308
Jarbas de Andrade Vasconcelos (Jarbas Vasconcelos),Senador - PMDB,200,Não disponível,-50,10,0,10,138,308
Ivonete Dantas Silva (Ivonete Dantas),Senador - PMDB,200,Não disponível,95,0,0,10,4,309
Luiz Gonzaga Ribeiro (Subtenente Gonzaga),Deputado Federal - PDT,200,5,95,0,0,10,0,310
Vanderlei Siraque (Vanderlei Siraque),Deputado Federal - PT,200,55,30,0,0,20,5,310
Jesus Rodrigues Alves (Jesus Rodrigues),Deputado Federal - PT,200,75,0,0,0,10,26,311
Helcio Antonio da Silva (Helcio Silva),Deputado Federal - PT,200,55,85,0,-25,10,-13,312
Francisco Eurico da Silva (Pastor Eurico),Deputado Federal - PSB,200,70,10,0,0,20,19,319
José Ricardo Alvarenga Tripoli (Ricardo Tripoli),Deputado Federal - PSDB,200,0,-20,0,0,0,141,321
Ataídes de Oliveira (Ataídes Oliveira),Senador - PROS,200,Não disponível,75,10,0,0,37,322
Amauri Santos Teixeira (Amauri Teixeira),Deputado Federal - PT,200,65,25,0,0,20,13,323
Eduardo Francisco Sciarra (Eduardo Sciarra),Deputado Federal - PSD,200,55,-35,0,0,-10,113,323
Francisco Das Chagas Francilino (Francisco Chagas),Deputado Federal - PT,200,40,75,0,-25,20,13,323
Adriano Eli Corrêa (Eli Correa Filho),Deputado Federal - DEM,200,25,40,0,0,0,61,326
Alvaro Fernandes Dias (Alvaro Dias),Senador - PSDB,200,Não disponível,55,20,0,-10,61,326
Iara Bernardi (Iara Bernardi),Deputado Federal - PT,200,50,55,0,0,20,1,326
Ozanilda Gondim Vital do Rego (Nilda Gondim),Deputado Federal - PMDB,200,35,10,0,-25,10,96,326
Alessandro Lucciola Molon (Alessandro Molon),Deputado Federal - PT,200,40,20,0,0,20,47,327
Antonio José Imbassahy da Silva (Antonio Imbassahy),Deputado Federal - PSDB,200,55,10,0,0,10,53,328
Marcos Rogério da Silva Brito (Marcos Rogério),Deputado Federal - PDT,200,70,15,10,0,10,24,329
Fabio de Almeida Reis (Fabio Reis),Deputado Federal - PMDB,200,50,55,0,0,10,16,331
Francisco Everardo Oliveira Silva (Tiririca),Deputado Federal - PR,200,75,45,-10,0,0,22,332
Guilherme Campos Júnior (Guilherme Campos),Deputado Federal - PSD,200,80,-20,-30,-100,10,192,332
Pedro Paulo Carvalho Teixeira (Pedro Paulo),Deputado Federal - PMDB,200,0,100,0,0,10,24,334
Luiz Carlos Jorge Hauly (Luiz Carlos Hauly),Deputado Federal - PSDB,200,60,50,0,-25,-20,70,335
Bruno Cavalcanti de Araújo (Bruno Araújo),Deputado Federal - PSDB,200,-30,-45,0,0,20,191,336
Maria Margarida Martins Salomão (Margarida Salomão),Deputado Federal - PT,200,70,65,10,0,0,-8,337
Ronaldo Fonseca de Souza (Ronaldo Fonseca),Deputado Federal - PROS,200,75,35,0,0,-10,41,341
Fábio Rodrigues de Oliveira (Major Fábio),Deputado Federal - PROS,200,35,5,0,0,0,102,342
José Pedro Gonçalves Taques (Pedro Taques),Senador - PDT,200,Não disponível,25,70,0,20,27,342
Aloysio Nunes Ferreira Filho (Aloysio Nunes Ferreira),Senador - PSDB,200,Não disponível,25,-10,0,0,129,344
Antonio Duarte Nogueira Júnior (Duarte Nogueira),Deputado Federal - PSDB,200,30,-5,-20,0,-20,161,346
Fábio Loureiro Souto (Fábio Souto),Deputado Federal - DEM,200,40,-45,0,0,10,144,349
Rubens Bueno (Rubens Bueno),Deputado Federal - PPS,200,85,30,0,0,0,34,349
Kátia Regina de Abreu (Kátia Abreu),Senador - PSD,200,Não disponível,-20,0,0,10,160,350
Raimundo Gomes de Matos (Raimundo Gomes de Matos),Deputado Federal - PSDB,200,85,-55,0,-25,0,146,351
Sandro Alex Cruz de Oliveira (Sandro Alex),Deputado Federal - PPS,200,80,10,0,0,20,42,352
Luiz Carlos Pietschmann (Luiz Pitiman),Deputado Federal - PSDB,200,75,45,-25,0,10,54,359
Fábio Ricardo Trad (Fábio Trad),Deputado Federal - PMDB,200,90,15,10,0,0,54,369
Roberto Policarpo Fagundes (Policarpo),Deputado Federal - PT,200,95,45,0,0,20,12,372
Jorge Catarino Leonardeli Boeira (Jorge Boeira),Deputado Federal - PP,200,0,100,0,0,10,68,378
Vanderlei Macris (Vanderlei Macris),Deputado Federal - PSDB,200,50,-30,0,0,20,156,396
Cláudio Cajado Sampaio (Claudio Cajado),Deputado Federal - DEM,200,25,-20,0,0,10,184,399
Felipe Catalão Maia (Felipe Maia),Deputado Federal - DEM,200,5,-15,10,0,10,189,399
Maria do Carmo do Nascimento Alves (Maria do Carmo Alves),Senador - DEM,200,Não disponível,45,-10,0,20,155,410
Luiz Barbosa de Deus (Luiz de Deus),Deputado Federal - DEM,200,80,55,0,0,0,77,412
Arlindo Chignalia Junior (Arlindo Chinaglia),Deputado Federal - PT,200,35,25,20,0,20,121,421
Fernando de Souza Flexa Ribeiro (Flexa Ribeiro),Senador - PSDB,200,Não disponível,-55,0,0,20,269,434
Cristovam Ricardo Cavalcanti Buarque (Cristovam Buarque),Senador - PDT,200,Não disponível,70,40,0,10,119,449
José Antônio Machado Reguffe (Reguffe),Deputado Federal - PDT,200,100,95,60,-25,20,68,518
Abelardo Luiz Lupion Mello (Abelardo Lupion),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Acir Marcos Gurgacz (Acir Gurgacz),Senador - PDT,-,Não disponível,-,-,-,-,-,NR
Ademir Camilo Prates Rodrigues (Ademir Camilo),Deputado Federal - PROS,-,-,-,-,-,-,-,NR
Aelton José de Freitas (Aelton Freitas),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Alceu Moreira da Silva (Alceu Moreira),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Alexandre Silveira de Oliveira (Alexandre Silveira),Deputado Federal - PPS,-,-,-,-,-,-,-,NR
Alfredo Pereira do Nascimento (Alfredo Nascimento),Senador - PR,-,Não disponível,-,-,-,-,-,NR
Aline Lemos Corrêa de Oliveira Andrade (Aline Corrêa),Deputado Federal - PP,-,-,-,-,-,-,-,NR
André Luis Dantas Ferreira (Andre Moura),Deputado Federal - PSC,-,-,-,-,-,-,-,NR
André Luiz Vargas Ilário (Andre Vargas),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Aníbal Ferreira Gomes (Aníbal Gomes),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Anthony William Garotinho Matheus de Oliveira (Anthony Garotinho),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Antônia Luciléia Cruz Ramos Câmara (Antônia Lúcia),Deputado Federal - PSC,-,-,-,-,-,-,-,NR
Antonio Balhmann Cardoso Nunes Filho (Antonio Balhmann),Deputado Federal - PROS,-,-,-,-,-,-,-,NR
Antonio Carlos Rodrigues (Antonio Carlos Rodrigues),Senador - PR,-,Não disponível,-,-,-,-,-,NR
Antonio Carlos Valadares (Antonio Carlos Valadares),Senador - PSB,-,Não disponível,-,-,-,-,-,NR
Antônio Carlos Valadares Filho (Valadares Filho),Deputado Federal - PSB,-,-,-,-,-,-,-,NR
Antônio Eudes Xavier (Eudes Xavier),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Aracely de Paula (Aracely de Paula),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Carlos Alberto Cavalcante de Souza (Carlos Souza),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
Carlos Alberto de Sousa Rosado (Betinho Rosado),Deputado Federal - PP,-,-,-,-,-,-,-,NR
Carlos Eduardo Cintra Da Costa Pereira (Carlos Eduardo Cadoca),Deputado Federal - PCdoB,-,-,-,-,-,-,-,NR
Carlos Eduardo de Souza Braga (Eduardo Braga),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
Carlos Eduardo Torres Gomes (Eduardo Gomes),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
Carlos Gomes Bezerra (Carlos Bezerra),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Carlos Magno Ramos (Carlos Magno),Deputado Federal - PP,-,-,-,-,-,-,-,NR
Celso Maldaner (Celso Maldaner),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Cícero de Lucena Filho (Cícero Lucena),Senador - PSDB,-,Não disponível,-,-,-,-,-,NR
Ciro Nogueira Lima Filho (Ciro Nogueira),Senador - PP,-,Não disponível,-,-,-,-,-,NR
Clésio Soares de Andrade (Clésio Andrade),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
Colbert Martins da Silva Filho (Colbert Martins),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Daniel Gomes de Almeida (Daniel Almeida),Deputado Federal - PCdoB,-,-,-,-,-,-,-,NR
Davi Alves Silva Júnior (Davi Alves Silva Júnior),Deputado Federal - PR,-,-,-,-,-,-,-,NR
Décio Nery de Lima (Décio Lima),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Domingos Francisco Dutra Filho (Domingos Dutra),Deputado Federal - SDD,-,-,-,-,-,-,-,NR
Edson Ezequiel de Matos (Edson Ezequiel),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Eduardo Cosentino da Cunha (Eduardo Cunha),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Eliene José de Lima (Eliene Lima),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
Eliseu Lemos Padilha (Eliseu Padilha),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Emanuel Fernandes (Emanuel Fernandes),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR
Fátima Lúcia Pelaes (Fátima Pelaes),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Flaviano Flávio Baptista de Melo (Flaviano Melo),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Francisco de Assis Carvalho Gonçalves (Assis Carvalho),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Francisco Ednaldo Praciano (Francisco Praciano),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Geraldo Magela Pereira (Magela),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Geraldo Resende Pereira (Geraldo Resende),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR
Geraldo Simões de Oliveira (Geraldo Simões),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Giovanni Corrêa Queiroz (Giovanni Queiroz),Deputado Federal - PDT,-,-,-,-,-,-,-,NR
Henrique Afonso Soares Lima (Henrique Afonso),Deputado Federal - PV,-,-,-,-,-,-,-,NR
Henrique Fontana Júnior (Henrique Fontana),Deputado Federal - PT,-,-,-,-,-,-,-,NR
Hidekazu Takayama (Takayama),Deputado Federal - PSC,-,-,-,-,-,-,-,NR
Hugo Leal Melo da Silva (Hugo Leal),Deputado Federal - PROS,-,-,-,-,-,-,-,NR
Ivo Narciso Cassol (Ivo Cassol),Senador - PP,-,Não disponível,-,-,-,-,-,NR
Jader Fontenelle Barbalho (Jader Barbalho),Senador - PMDB,-,Não disponível,-,-,-,-,-,NR
Jairo Ataíde Vieira (Jairo Ataíde),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
Jânio Natal Andrade Borges (Jânio Natal),Deputado Federal - PRP,-,-,-,-,-,-,-,NR
Jaqueline Maria Roriz (Jaqueline Roriz),Deputado Federal - PMN,-,-,-,-,-,-,-,NR
Jayme Veríssimo Campos (Jayme Campos),Senador - DEM,-,Não disponível,-,-,-,-,-,NR
Jefferson Alves de Campos (Jefferson Campos),Deputado Federal - PSD,-,-,-,-,-,-,-,NR
João Alberto Pizzolatti Júnior (João Pizzolatti),Deputado Federal - PP,-,-,-,-,-,-,-,NR
João Bittar Júnior (João Bittar),Deputado Federal - DEM,-,-,-,-,-,-,-,NR
João Carlos Paolilo Bacelar Filho (João Carlos Bacelar),Deputado Federal - PR,-,-,-,-,-,-,-,NR
