Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
Maria Perpétua de Almeida (Perpétua Almeida),Deputado Federal - PCdoB,200,-20,-50,0,0,20,-111,39
João Vicente de Macêdo Claudino (João Vicente Claudino),Senador - PTB,200,Não disponível,-80,0,0,10,-90,40
José Leonardo Costa Monteiro (Leonardo Monteiro),Deputado Federal - PT,200,-30,-25,-10,-25,20,-89,41
Claudio Alberto Castelo Branco Puty (Cláudio Puty),Deputado Federal - PT,200,25,5,0,-250,20,42,42
Welington Coimbra (Lelo Coimbra),Deputado Federal - PMDB,200,-30,-20,0,0,20,-128,42
Antônio Eustáquio Andrade Ferreira (Antônio Andrade),Deputado Federal - PMDB,200,10,0,0,-25,0,-141,44
Fernando Affonso Collor de Mello (Fernando Collor),Senador - PTB,200,Não disponível,-85,0,-50,-20,-1,44
Esmerino Neri Batista Filho (Miriquinho Batista),Deputado Federal - PT,200,0,0,0,-175,20,0,45
Máriton Benedito de Holanda (Padre Ton),Deputado Federal - PT,200,45,-15,0,-225,20,22,47
Waldemir Moka Miranda de Britto (Waldemir Moka),Senador - PMDB,200,Não disponível,-5,10,0,20,-178,47
Antonio Carlos Martins de Bulhões (Antonio Bulhões),Deputado Federal - PRB,200,55,-25,0,-100,0,-80,50
José Francisco Paes Landim (Paes Landim),Deputado Federal - PTB,200,-25,-45,0,0,-10,-69,51
Adilson Soares (Dr. Adilson Soares),Deputado Federal - PR,200,-40,-10,-10,0,10,-97,53
Fernando Lúcio Giacobo (Giacobo),Deputado Federal - PR,200,-40,-45,0,-25,0,-37,53
Olavo Bilac Pinto Neto (Bilac Pinto),Deputado Federal - PR,200,-5,50,0,-100,-20,-72,53
Cássio Rodrigues da Cunha Lima (Cássio Cunha Lima),Senador - PSDB,200,Não disponível,45,-10,-200,10,9,54
Rosilda de Freitas (Rose de Freitas),Deputado Federal - PMDB,200,-75,-15,0,0,-20,-35,55
Roseane Cavalcante de Freitas (Rosinha da Adefal),Deputado Federal - PTdoB,200,-15,-5,0,-100,0,-24,56
Taumaturgo Lima Cordeiro (Taumaturgo Lima),Deputado Federal - PT,200,-40,-15,-10,-100,20,1,56
Damião Feliciano da Silva (Damião Feliciano),Deputado Federal - PDT,200,30,-30,0,0,-20,-123,57
Fábio Augusto Ramalho Dos Santos (Fábio Ramalho),Deputado Federal - PV,200,-30,-10,-10,-25,0,-68,57
Iracema Maria Portella Nunes Nogueira Lima (Iracema Portella),Deputado Federal - PP,200,-50,5,0,-100,20,-18,57
Urzeni da Rocha Freitas Filho (Urzeni Rocha),Deputado Federal - PSD,200,-80,-5,0,-175,-10,127,57
Wolney Queiroz Maciel (Wolney Queiroz),Deputado Federal - PDT,200,-15,-20,0,0,10,-118,57
Arthur César Pereira de Lira (Arthur Lira),Deputado Federal - PP,200,-25,40,0,-150,-20,13,58
Jose Luiz Stédile (Jose Stédile),Deputado Federal - PSB,200,85,-10,0,-200,10,-26,59
Alexandre José Dos Santos (Alexandre Santos),Deputado Federal - PMDB,200,0,0,0,-100,0,-39,61
Valmir Carlos da Assunção (Valmir Assunção),Deputado Federal - PT,200,-10,5,0,-125,0,-9,61
Manoel Salviano Sobrinho (Manoel Salviano),Deputado Federal - PSD,200,-55,-40,0,-50,10,-3,62
Nelson Meurer (Nelson Meurer),Deputado Federal - PP,200,35,-35,-10,0,-40,-86,64
José Renan Vasconcelos Calheiros Filho (Renan Filho),Deputado Federal - PMDB,200,-65,5,-20,-125,20,50,65
José Barroso Pimentel (José Pimentel),Senador - PT,200,Não disponível,-20,0,0,10,-123,67
Carlos Alberto Rolim Zarattini (Carlos Zarattini),Deputado Federal - PT,200,25,-35,0,0,0,-122,68
Cândido Elpídio de Souza Vaccarezza (Cândido Vaccarezza),Deputado Federal - PT,200,-35,-20,0,0,20,-96,69
