CANDIDATO,CARGO,PONTUACAO INICIAL,PRESENCA,PRIVILEGIOS,PARTICIPACAO,PROCESSOS,OUTROS,QUALIDADE,PONTUACAO,DISPESA,UF
acelino freitas (acelino popo),Deputado Federal - PRB,200,-30,5,0,0,10,-3,182,323124,BA
silvio serafim costa (silvio costa),Deputado Federal - PSC,200,-45,-45,0,0,10,-99,21,1132104,PE
jose linhares ponte (jose linhares),Deputado Federal - PP,200,-20,-30,0,0,-30,-99,21,261575,CE
fabio rodrigues de oliveira (major fabio),Deputado Federal - PROS,200,35,5,0,0,0,102,342,133602,PB
thiago mello peixoto da silveira (thiago peixoto),Deputado Federal - PSD,200,30,85,0,-25,10,-6,294,1902436,GO
vicente paulo da silva (vicentinho),Deputado Federal - PT,200,-30,-10,-20,0,20,-58,102,918818,SP
paulo pereira da silva (paulo pereira da silva),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,2040086,SP
vitor paulo araujo dos santos (vitor paulo),Deputado Federal - PRB,200,45,25,0,-25,10,33,288,494325,RJ
antonio carlos de mendes thame (antonio carlos mendes thame),Deputado Federal - PSDB,200,15,10,0,-350,-10,170,35,2285735,SP
fernando affonso collor de mello (fernando collor),Senador - PTB,200,Nao disponivel,-85,0,-50,-20,-1,44,3294021,AL
alice mazzuco portugal (alice portugal),Deputado Federal - PC do B,200,-15,-35,0,0,10,-132,28,769230,BA
silas camara (silas camara),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,313633,AM
joao alberto pizzolatti junior (joao pizzolatti),Deputado Federal - PP,-,-,-,-,-,-,-,NR,1535639,SC
marco antonio feliciano (pastor marco feliciano),Deputado Federal - PSC,200,15,15,-30,-75,20,54,199,180607,SP
pedro fernandes ribeiro (pedro fernandes),Deputado Federal - PTB,200,75,50,0,-100,-10,-5,210,535886,MA
eduardo luiz barros barbosa (eduardo barbosa),Deputado Federal - PSDB,200,60,-25,0,-100,20,111,266,301079,MG
bruna dias furlan (bruna furlan),Deputado Federal - PSDB,200,40,15,0,-100,20,11,186,2538497,SP
waldir maranhao cardoso (waldir maranhao),Deputado Federal - PP,-,-,-,-,-,-,-,NR,820436,MA
janete rocha pieta (janete rocha pieta),Deputado Federal - PT,200,45,-30,0,0,20,-141,94,1564831,SP
luiz eduardo francisco da silva (dudu luiz eduardo),Deputado Federal - PSDC,-,-,-,-,-,-,-,NR,325635,RJ
sergio ivan moraes (sergio moraes),Deputado Federal - PTB,-,-,-,-,-,-,-,NR,549830,RS
fabio salustino mesquita de faria (fabio faria),Deputado Federal - PSD,200,-65,-25,0,0,10,-49,71,1290212,RN
elcione therezinha zahluth barbalho (elcione barbalho),Deputado Federal - PMDB,200,-65,-50,0,0,20,-82,23,321665,PA
maria gorete pereira (gorete pereira),Deputado Federal - PR,-,-,-,-,-,-,-,NR,266689,CE
aracely de paula (aracely de paula),Deputado Federal - PR,-,-,-,-,-,-,-,NR,829788,MG
fabio augusto ramalho dos santos (fabio ramalho),Deputado Federal - PV,200,-30,-10,-10,-25,0,-68,57,1377267,MG
luiz lindbergh farias filho (lindbergh farias),Senador - PT,-,Nao disponivel,-,-,-,-,-,NR,13035121,RJ
geraldo thadeu pedreira dos santos (geraldo thadeu),Deputado Federal - PSD,200,20,-40,0,-25,0,52,207,755462,MG
marcio costa macedo (marcio macedo),Deputado Federal - PT,200,40,-5,0,-50,20,32,237,1895978,SE
jarbas de andrade vasconcelos (jarbas vasconcelos),Senador - PMDB,200,Nao disponivel,-50,10,0,10,138,308,7895677,PE
raimundo gomes de matos (raimundo gomes de matos),Deputado Federal - PSDB,200,85,-55,0,-25,0,146,351,526209,CE
maria margarida martins salomao (margarida salomao),Deputado Federal - PT,200,70,65,10,0,0,-8,337,585788,MG
eliene jose de lima (eliene lima),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,789496,MT
joao paulo lima e silva (joao paulo lima),Deputado Federal - PT,200,40,10,20,-225,20,13,78,1155291,PE
ciro nogueira lima filho (ciro nogueira),Senador - PP,-,Nao disponivel,-,-,-,-,-,NR,3009334,PI
luiz gonzaga ribeiro (subtenente gonzaga),Deputado Federal - PDT,200,5,95,0,0,10,0,310,115985,MG
luiz carlos ghiorzzi busato (luiz carlos busato),Deputado Federal - PTB,200,-50,55,0,0,10,-99,116,1114615,RS
marinha celia rocha raupp de matos (marinha raupp),Deputado Federal - PMDB,200,10,-25,0,-100,0,-75,10,650899,RO
ronaldo jose benedet (ronaldo benedet),Deputado Federal - PMDB,200,25,0,0,-50,0,62,237,481716,SC
roseane cavalcante de freitas (rosinha da adefal),Deputado Federal - PTdoB,200,-15,-5,0,-100,0,-24,56,126590,AL
antonio carlos martins de bulhoes (antonio bulhoes),Deputado Federal - PRB,200,55,-25,0,-100,0,-80,50,374501,SP
luiz henrique da silveira (luiz henrique),Senador - PMDB,-,Nao disponivel,-,-,-,-,-,NR,2734437,SC
francisco ariosto holanda (ariosto holanda),Deputado Federal - PROS,200,20,-35,0,-25,0,-135,25,487386,CE
decio nery de lima (decio lima),Deputado Federal - PT,-,-,-,-,-,-,-,NR,885698,SC
joao lucio magalhaes bifano (joao magalhaes),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,1339917,MG
waldemir moka miranda de britto (waldemir moka),Senador - PMDB,200,Nao disponivel,-5,10,0,20,-178,47,2743478,MS
geraldo magela pereira (magela),Deputado Federal - PT,-,-,-,-,-,-,-,NR,1028505,DF
jose almeida lima (almeida lima),Deputado Federal - PMDB,200,-65,-25,0,0,0,53,163,994849,SE
eleuses vieira de paiva (eleuses paiva),Deputado Federal - PSD,200,35,-5,0,-25,0,41,246,569520,SP
diego leonardo de andrade carvalho (diego andrade),Deputado Federal - PSD,200,0,10,0,0,10,12,232,1079953,MG
iriny nicolau corres lopes (iriny lopes),Deputado Federal - PT,200,-5,0,0,0,10,-97,108,1303155,ES
iracema maria portella nunes nogueira lima (iracema portella),Deputado Federal - PP,200,-50,5,0,-100,20,-18,57,534469,PI
renato delmar molling (renato molling),Deputado Federal - PP,200,-5,-30,0,-50,0,-83,32,973832,RS
gustavo lemos petta (gustavo petta),Deputado Federal - PCdoB,200,0,90,0,-125,0,-5,160,1091238,SP
marco aurelio ubiali (dr. ubiali),Deputado Federal - PSB,200,45,-15,10,0,0,-158,82,564554,SP
joao bittar junior (joao bittar),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,1253023,MG
anselmo de jesus abreu (anselmo de jesus),Deputado Federal - PT,200,-30,0,0,-25,10,-117,38,411542,RO
ademir camilo prates rodrigues (ademir camilo),Deputado Federal - PROS,-,-,-,-,-,-,-,NR,992167,MG
enio egon bergmann bacci (enio bacci),Deputado Federal - PDT,200,-45,-40,0,-25,20,-28,82,288014,RS
nilton balbino (nilton capixaba),Deputado Federal - PTB,200,-15,-5,0,-225,10,57,22,307693,RO
andre luiz vargas ilario (andre vargas),Deputado Federal - PT,-,-,-,-,-,-,-,NR,1229966,PR
marcal goncalves leite filho (marcal filho),Deputado Federal - PMDB,200,35,-30,0,-125,-10,18,88,721284,MS
julio jose de campos (julio campos),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,558731,MT
osmar gasparini terra (osmar terra),Deputado Federal - PMDB,200,-45,-5,0,-100,20,20,90,549168,RS
hugo napoleao do rego neto (hugo napoleao),Deputado Federal - PSD,200,20,5,0,-100,-20,55,160,1094157,PI
vicente ferreira de arruda coelho (vicente arruda),Deputado Federal - PROS,200,-85,-35,0,0,0,-45,35,184398,CE
aline lemos correa de oliveira andrade (aline correa),Deputado Federal - PP,-,-,-,-,-,-,-,NR,2181682,SP
eliseu lemos padilha (eliseu padilha),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,752497,RS
vander luiz dos santos loubet (vander loubet),Deputado Federal - PT,-,-,-,-,-,-,-,NR,2201554,MS
mariton benedito de holanda (padre ton),Deputado Federal - PT,200,45,-15,0,-225,20,22,47,168218,RO
bernardo de vasconcellos moreira (bernardo santana de vasconcellos),Deputado Federal - PR,200,5,15,0,-125,20,-11,104,3316763,MG
jose severiano chaves (jose chaves),Deputado Federal - PTB,200,-15,-30,0,0,-20,-20,115,1014472,PE
emiliano jose da silva filho (emiliano jose),Deputado Federal - PT,200,0,40,0,0,10,2,252,313631,BA
daniel gomes de almeida (daniel almeida),Deputado Federal - PCdoB,-,-,-,-,-,-,-,NR,855299,BA
geraldo simoes de oliveira (geraldo simoes),Deputado Federal - PT,-,-,-,-,-,-,-,NR,373600,BA
marcus vinicius caetano pestana da silva (marcus pestana),Deputado Federal - PSDB,200,-15,20,0,0,10,21,236,1468959,MG
jose carlos vaz de lima (vaz de lima),Deputado Federal - PSDB,200,45,15,0,0,20,13,293,1360413,SP
paulo wagner leite dantas (paulo wagner),Deputado Federal - PV,200,20,-10,0,0,20,5,235,273092,RN
stefano aguiar dos santos (stefano aguiar),Deputado Federal - PSB,200,-25,45,0,0,20,19,259,209325,MG
urzeni da rocha freitas filho (urzeni rocha),Deputado Federal - PSD,200,-80,-5,0,-175,-10,127,57,427375,RR
fernando bezerra de souza coelho filho (fernando coelho filho),Deputado Federal - PSB,200,-40,-30,0,0,20,-148,2,1311219,PE
eurico pinheiro bernardes junior (eurico junior),Deputado Federal - PV,200,30,55,0,-200,-20,-27,38,19562,RJ
pedro eugenio de castro toledo cabral (pedro eugenio),Deputado Federal - PT,200,10,-40,0,-25,0,-126,19,918626,PE
erivelton lima santana (erivelton santana),Deputado Federal - PSC,200,-40,10,0,-50,10,59,189,223248,BA
paulo roberto severo pimenta (paulo pimenta),Deputado Federal - PT,-,-,-,-,-,-,-,NR,861613,RS
bruno cavalcanti de araujo (bruno araujo),Deputado Federal - PSDB,200,-30,-45,0,0,20,191,336,1235434,PE
carlos alberto lopes (dr. carlos alberto),Deputado Federal - PMN,200,30,35,0,0,20,-73,212,759634,RJ
elvino jose bohn gass (bohn gass),Deputado Federal - PT,200,-25,5,0,0,20,-27,173,392145,RS
reginaldo lazaro de oliveira lopes (reginaldo lopes),Deputado Federal - PT,200,-25,-20,0,0,0,-135,20,1654068,MG
junji abe (junji abe),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,412215,SP
aecio neves da cunha (aecio neves),Senador - PSDB,200,Nao disponivel,20,0,0,10,57,287,8436708,MG
newton lima neto (newton lima),Deputado Federal - PT,-,-,-,-,-,-,-,NR,2335933,SP
george hilton dos santos cecilio (george hilton),Deputado Federal - PRB,200,-20,-20,0,0,-20,-65,75,155902,MG
danilo jorge de barros cabral (danilo cabral),Deputado Federal - PSB,200,-20,100,0,0,10,-8,282,609981,PE
jorge de oliveira (zoinho),Deputado Federal - PR,200,70,20,0,-25,-20,19,264,154789,RJ
nelson vicente portela pellegrino (nelson pellegrino),Deputado Federal - PT,200,-40,0,0,0,0,-61,99,931394,BA
vital do rego filho (vital do rego),Senador - PMDB,200,Nao disponivel,0,0,-25,0,-10,165,2979624,PB
valdir raupp de matos (valdir raupp),Senador - PMDB,-,Nao disponivel,-,-,-,-,-,NR,3303917,RO
domingos francisco dutra filho (domingos dutra),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,117832,MA
edson ezequiel de matos (edson ezequiel),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,1415683,RJ
benjamin gomes maranhao neto (benjamin maranhao),Deputado Federal - SDD,200,20,10,0,-125,10,43,158,232073,PB
damiao feliciano da silva (damiao feliciano),Deputado Federal - PDT,200,30,-30,0,0,-20,-123,57,508873,PB
fernando lucio giacobo (giacobo),Deputado Federal - PR,200,-40,-45,0,-25,0,-37,53,677455,PR
leandro vilela velloso (leandro vilela),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,1619827,GO
rubens bueno (rubens bueno),Deputado Federal - PPS,200,85,30,0,0,0,34,349,211211,PR
iris de araujo rezende machado (iris de araujo),Deputado Federal - PMDB,200,-10,-5,0,-25,20,-86,94,2217001,GO
rodrigo moreira ladeira grilo (dr. grilo),Deputado Federal - SDD,200,60,20,0,0,0,23,303,107238,MG
edson edinho coelho araujo (edinho araujo),Deputado Federal - PMDB,200,95,15,0,-300,-10,89,89,197926,SP
iolanda keiko miashiro ota (keiko ota),Deputado Federal - PSB,200,60,10,0,0,20,-24,266,88644,SP
mauro ribeiro lopes (mauro lopes),Deputado Federal - PMDB,200,-25,-25,0,0,10,2,162,971171,MG
joaquim de lira maia (lira maia),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,431501,PA
magda mofatto hon (magda mofatto),Deputado Federal - PR,-,-,-,-,-,-,-,NR,1921956,GO
izalci lucas ferreira (izalci),Deputado Federal - PSDB,200,90,20,0,-150,-20,47,187,732524,DF
jose carlos vieira (jose carlos vieira),Deputado Federal - PR,200,0,75,0,-350,0,91,16,693863,SC
joao luiz correia argolo dos santos (luiz argolo),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,266734,BA
marcio luiz franca gomes (marcio franca),Deputado Federal - PSB,200,-60,10,-5,-25,20,-71,69,2427560,SP
ricardo izar junior (ricardo izar),Deputado Federal - PSD,200,55,15,10,0,0,2,282,945304,SP
marllos rossano ribeiro goncalves de sampaio (marllos sampaio),Deputado Federal - PMDB,200,-45,-5,0,0,20,47,217,441608,PI
weliton fernandes prado (weliton prado),Deputado Federal - PT,200,55,25,-10,0,20,-1,289,1381850,MG
jose anibal peres de pontes (jose anibal),Deputado Federal - PSDB,200,-85,60,0,-100,-20,93,148,3146788,SP
wellington antonio fagundes (wellington fagundes),Deputado Federal - PR,200,-55,-5,0,-100,10,-39,11,2671512,MT
arnaldo faria de sa (arnaldo faria de sa),Deputado Federal - PTB,200,50,20,0,0,-30,26,266,1522732,SP
rubens moreira mendes filho (moreira mendes),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,979021,RO
josue bengtson (josue bengtson),Deputado Federal - PTB,-,-,-,-,-,-,-,NR,514403,PA
maria perpetua de almeida (perpetua almeida),Deputado Federal - PCdoB,200,-20,-50,0,0,20,-111,39,349550,AC
carlos henrique focesi sampaio (carlos sampaio),Deputado Federal - PSDB,200,-40,10,0,-50,20,93,233,660205,SP
ivan valente (ivan valente),Deputado Federal - PSOL,200,80,-15,10,0,10,-61,224,153203,SP
colbert martins da silva filho (colbert martins),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,243679,BA
luis carlos heinze (luis carlos heinze),Deputado Federal - PP,200,45,-45,0,-25,0,-103,72,1360810,RS
walter de freitas pinheiro (walter pinheiro),Senador - PT,200,Nao disponivel,25,10,0,10,-109,136,2137346,BA
luiz paulo teixeira ferreira (paulo teixeira),Deputado Federal - PT,200,45,-25,0,-25,20,-141,74,3541732,SP
julio luiz baptista lopes (julio lopes),Deputado Federal - PP,200,-35,100,-30,-125,10,2,122,2867730,RJ
marcio miguel bittar (marcio bittar),Deputado Federal - PSDB,200,-60,0,0,0,0,53,193,317944,AC
welington coimbra (lelo coimbra),Deputado Federal - PMDB,200,-30,-20,0,0,20,-128,42,958201,ES
cesar roberto colnaghi (cesar colnago),Deputado Federal - PSDB,200,20,20,0,0,0,51,291,786935,ES
simao sessim (simao sessim),Deputado Federal - PP,200,45,-20,-10,0,-60,-72,83,943376,RJ
jorge ney viana macedo neves (jorge viana),Senador - PT,-,Nao disponivel,-,-,-,-,-,NR,47700,AC
flaviano flavio baptista de melo (flaviano melo),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,321770,AC
andre peixoto figueiredo lima (andre figueiredo),Deputado Federal - PDT,200,55,0,0,0,10,6,271,343215,CE
pedro paulo carvalho teixeira (pedro paulo),Deputado Federal - PMDB,200,0,100,0,0,10,24,334,1319129,RJ
giovanni correa queiroz (giovanni queiroz),Deputado Federal - PDT,-,-,-,-,-,-,-,NR,476578,PA
heuler abreu cruvinel (heuler cruvinel),Deputado Federal - PSD,200,5,10,0,0,20,11,246,2518161,GO
romero juca filho (romero juca),Senador - PMDB,-,Nao disponivel,-,-,-,-,-,NR,939728,RR
carlos eduardo torres gomes (eduardo gomes),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,2043551,TO
laercio jose de oliveira (laercio oliveira),Deputado Federal - SDD,200,10,5,0,0,0,20,235,461529,SE
francisco das chagas francilino (francisco chagas),Deputado Federal - PT,200,40,75,0,-25,20,13,323,1062351,SP
protogenes pinheiro de queiroz (delegado protogenes),Deputado Federal - PCdoB,200,15,5,0,-225,20,18,33,729509,SP
jutahy magalhaes junior (jutahy junior),Deputado Federal - PSDB,200,-15,-35,0,0,0,142,292,2287668,BA
rodrigo sobral rollemberg (rodrigo rollemberg),Senador - PSB,200,Nao disponivel,100,10,-25,20,-180,125,1248282,DF
antonio carlos valadares filho (valadares filho),Deputado Federal - PSB,-,-,-,-,-,-,-,NR,279518,SE
jaime martins filho (jaime martins),Deputado Federal - PSD,200,5,-20,10,0,0,-75,120,852635,MG
jose wellington barroso de araujo dias (wellington dias),Senador - PT,200,Nao disponivel,-30,0,-150,20,-6,34,2177857,PI
leonardo lemos barros quintao (leonardo quintao),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,1145827,MG
marcos antonio medrado (marcos medrado),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,401641,BA
joao ananias vasconcelos neto (joao ananias),Deputado Federal - PCdoB,200,-10,-10,0,0,10,-53,137,394281,CE
jefferson alves de campos (jefferson campos),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,435707,SP
vinicius de azevedo gurgel (vinicius gurgel),Deputado Federal - PR,200,-125,-5,0,-25,0,27,72,108280,AP
eduardo cosentino da cunha (eduardo cunha),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,3035142,RJ
jesus rodrigues alves (jesus rodrigues),Deputado Federal - PT,200,75,0,0,0,10,26,311,350409,PI
francisco luiz escorcio lima (francisco escorcio),Deputado Federal - PMDB,200,5,5,0,-25,0,63,248,1261050,MA
ivo narciso cassol (ivo cassol),Senador - PP,-,Nao disponivel,-,-,-,-,-,NR,6388165,RO
jorge ricardo bittar (jorge bittar),Deputado Federal - PT,200,40,50,0,0,20,-100,210,1487960,RJ
raul jean louis henry junior (raul henry),Deputado Federal - PMDB,200,5,-45,0,0,20,123,303,831188,PE
jorge catarino leonardeli boeira (jorge boeira),Deputado Federal - PP,200,0,100,0,0,10,68,378,446614,SC
domingos gomes de aguiar neto (domingos neto),Deputado Federal - PROS,200,15,20,0,-100,10,-6,139,1112354,CE
jose vieira lins (ze vieira),Deputado Federal - PROS,-,-,-,-,-,-,-,NR,304091,MA
antonio eudes xavier (eudes xavier),Deputado Federal - PT,-,-,-,-,-,-,-,NR,247417,CE
lidice da mata e souza (lidice da mata),Senador - PSB,200,Nao disponivel,-15,0,-25,-10,-127,23,1911335,BA
vanessa grazziotin (vanessa grazziotin),Senador - PC do B,-,Nao disponivel,-,-,-,-,-,NR,3452838,AM
andreia almeida zito dos santos (andreia zito),Deputado Federal - PSDB,200,-85,-5,0,0,20,129,259,300928,RJ
carlos eduardo cintra da costa pereira (carlos eduardo cadoca),Deputado Federal - PCdoB,-,-,-,-,-,-,-,NR,721775,PE
valmir carlos da assuncao (valmir assuncao),Deputado Federal - PT,200,-10,5,0,-125,0,-9,61,512572,BA
mario feitoza de carvalho freitas (mario feitoza),Deputado Federal - PMDB,200,50,35,0,-25,10,18,288,1084375,CE
cristovam ricardo cavalcanti buarque (cristovam buarque),Senador - PDT,200,Nao disponivel,70,40,0,10,119,449,1737662,DF
genecias mateus noronha (genecias noronha),Deputado Federal - SDD,200,-30,5,0,-125,0,41,91,789653,CE
marcelo viviani goncalves (marcelo matos),Deputado Federal - PDT,200,20,20,0,-75,10,-22,153,226130,RJ
paulo roberto freire da costa (paulo freire),Deputado Federal - PR,200,10,10,0,0,10,47,277,1087045,SP
jose luiz stedile (jose stedile),Deputado Federal - PSB,200,85,-10,0,-200,10,-26,59,379803,RS
sebastiao ferreira da rocha (sebastiao bala rocha),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,226532,AP
felipe leone bornier de oliveira (felipe bornier),Deputado Federal - PSD,200,50,-15,0,0,10,-74,171,345872,RJ
jader fontenelle barbalho (jader barbalho),Senador - PMDB,-,Nao disponivel,-,-,-,-,-,NR,1775733,PA
fabio ricardo trad (fabio trad),Deputado Federal - PMDB,200,90,15,10,0,0,54,369,565778,MS
jose alves rocha (jose rocha),Deputado Federal - PR,200,45,-35,0,0,0,-112,98,785149,BA
fernando dantas torres (fernando torres),Deputado Federal - PSD,200,5,25,-10,-125,-10,21,106,545445,BA
armando vergilio dos santos junior (armando vergilio),Deputado Federal - SSD,200,-30,30,-10,-100,0,68,158,2732266,GO
gastao dias vieira (gastao vieira),Deputado Federal - PMDB,200,20,60,0,0,-20,-26,234,802139,MA
carlos alberto de sousa rosado (betinho rosado),Deputado Federal - PP,-,-,-,-,-,-,-,NR,316284,RN
artur jose vieira bruno (artur bruno),Deputado Federal - PT,200,0,-5,0,0,20,15,230,263209,CE
paulo abi-ackel (paulo abi-ackel),Deputado Federal - PSDB,200,-65,-35,10,0,-10,139,239,2780005,MG
edio vieira lopes (edio lopes),Deputado Federal - PMDB,200,20,-50,0,0,10,-62,118,2244651,RR
jose saraiva felipe (saraiva felipe),Deputado Federal - PMDB,200,-55,-20,0,0,10,-65,70,2045758,MG
zacarias vilharba (vilalba),Deputado Federal - PP,200,25,10,0,-100,-10,-25,100,120449,PE
paulo roberto foletto (paulo foletto),Deputado Federal - PSB,200,65,10,0,0,20,-64,231,651044,ES
jose francisco paes landim (paes landim),Deputado Federal - PTB,200,-25,-45,0,0,-10,-69,51,1356242,PI
maria aparecida borghetti (cida borghetti),Deputado Federal - PROS,200,15,20,0,0,-10,1,226,1243757,PR
paulo fernando dos santos (paulao),Deputado Federal - PT,200,10,50,0,0,20,-7,273,663043,AL
antonio eustaquio andrade ferreira (antonio andrade),Deputado Federal - PMDB,200,10,0,0,-25,0,-141,44,908151,MG
raimundo sabino castelo branco maues (sabino castelo branco),Deputado Federal - PTB,-,-,-,-,-,-,-,NR,804540,AM
iraja silvestre filho (iraja abreu),Deputado Federal - PSD,200,-75,15,0,-25,10,-4,121,1551691,TO
atila freitas lira (atila lira),Deputado Federal - PSB,200,-15,55,0,0,-30,-137,73,650724,PI
ronaldo ramos caiado (ronaldo caiado),Deputado Federal - DEM,200,5,-15,10,-100,0,166,266,2381031,GO
carlos humberto mannato (manato),Deputado Federal - SDD,200,20,-30,0,0,0,-73,117,483347,ES
randolph frederich rodrigues alves (randolfe rodrigues),Senador - PSOL,200,Nao disponivel,-15,0,0,10,-17,178,189365,AP
edmar de souza arruda (edmar arruda),Deputado Federal - PSC,200,0,10,10,0,0,30,250,2221475,PR
raimundo coimbra junior (junior coimbra),Deputado Federal - PMDB,200,20,0,0,-100,20,63,203,791779,TO
jose barroso pimentel (jose pimentel),Senador - PT,200,Nao disponivel,-20,0,0,10,-123,67,4073323,CE
francisco de assis carvalho goncalves (assis carvalho),Deputado Federal - PT,-,-,-,-,-,-,-,NR,437445,PI
adrian mussi ramos (adrian),Deputado Federal - PMDB,200,-20,30,0,-100,10,35,155,1810423,RJ
flavia carreiro albuquerque morais (flavia morais),Deputado Federal - PDT,200,40,10,0,-25,10,1,236,2885311,GO
arthur de oliveira maia da silva (arthur oliveira maia),Deputado Federal - SDD,200,-10,10,0,-25,-20,59,214,528257,BA
onofre santo agustini (onofre santo agostini),Deputado Federal - PSD,200,80,10,0,-100,-10,52,232,642105,SC
celso maldaner (celso maldaner),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,514554,SC
onyx dornelles lorenzoni (onyx lorenzoni),Deputado Federal - DEM,200,-5,-40,0,0,0,72,227,1060233,RS
joao felipe de souza leao (joao leao),Deputado Federal - PP,200,-35,5,0,0,0,-67,103,841084,BA
arnaldo calil pereira jardim (arnaldo jardim),Deputado Federal - PPS,200,15,-25,0,0,10,85,285,2447385,SP
alexandre jose dos santos (alexandre santos),Deputado Federal - PMDB,200,0,0,0,-100,0,-39,61,1306770,RJ
fernando destito francischini (fernando francischini),Deputado Federal - SDD,200,-25,15,0,0,0,27,217,557122,PR
gilberto jose spier vargas (pepe vargas),Deputado Federal - PT,200,35,15,0,0,0,-150,100,412163,RS
manuela pinto vieira d'avila (manuela d'avila),Deputado Federal - PCdoB,200,-65,-20,10,0,0,-5,120,840496,RS
rodrigo felinto ibarra epitacio maia (rodrigo maia),Deputado Federal - DEM,200,-15,-15,0,0,-20,97,247,1804063,RJ
ana amelia de lemos (ana amelia),Senador - PP,200,Nao disponivel,60,10,0,20,-128,162,2643526,RS
jose renan vasconcelos calheiros (renan calheiros),Senador - PMDB,-,Nao disponivel,-,-,-,-,-,NR,5015840,AL
ricardo de rezende ferraco (ricardo ferraco),Senador - PMDB,200,Nao disponivel,30,0,0,-20,70,280,3650694,ES
miguel correa da silva junior (miguel correa),Deputado Federal - PT,200,-100,-15,0,0,10,-5,90,1368485,MG
jorginho dos santos mello (jorginho mello),Deputado Federal - PR,200,20,10,0,0,0,28,258,289996,SC
lincoln diniz portela (lincoln portela),Deputado Federal - PR,200,85,-35,20,-125,-10,-26,109,954725,MG
sergio zveiter (sergio zveiter),Deputado Federal - PSD,200,-40,75,-10,0,0,55,280,861933,RJ
marcos montes cordeiro (marcos montes),Deputado Federal - PSD,-,-,-,-,-,-,-,NR,1705911,MG
amir francisco lando (amir lando),Deputado Federal - PMDB,200,-115,70,0,0,20,45,220,365887,RO
rui costa dos santos (rui costa),Deputado Federal - PSDB,200,15,80,0,-50,20,-2,263,1031948,BA
jose nobre guimaraes (jose guimaraes),Deputado Federal - PT,-,-,-,-,-,-,-,NR,831030,CE
augusto rodrigues coutinho de melo (augusto coutinho),Deputado Federal - SDD,200,40,5,0,-50,0,-22,173,949993,PE
roberto requiao de mello e silva (roberto requiao),Senador - PMDB,200,Nao disponivel,10,10,-50,20,2,192,2039379,PR
