CANDIDATO,CARGO,PONTUACAO INICIAL,PRESENCA,PRIVILEGIOS,PARTICIPACAO,PROCESSOS,OUTROS,QUALIDADE,PONTUACAO,DISPESA,UF
jose roberto oliveira faro (beto faro),Deputado Federal - PT,-,-,-,-,-,-,-,NR,621221,PA
carlos gomes bezerra (carlos bezerra),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,2623503,MT
sergio de oliveira cunha (sergio petecao),Senador - PSD,-,Nao disponivel,-,-,-,-,-,NR,453150,AC
jose simplicio alves de araujo (simplicio araujo),Deputado Federal - SDD,200,-15,50,0,0,0,28,263,130309,MA
pedro pinheiro chaves (pedro chaves),Deputado Federal - PMDB,200,30,-5,0,-100,20,-107,38,1176528,GO
gleisi helena hoffmann (gleisi hoffmann),Senador - PT,200,Nao disponivel,95,0,0,20,-8,307,4113079,PR
francisco ednaldo praciano (francisco praciano),Deputado Federal - PT,-,-,-,-,-,-,-,NR,292202,AM
jose sarney filho (sarney filho),Deputado Federal - PV,-,-,-,-,-,-,-,NR,1010311,MA
helcio antonio da silva (helcio silva),Deputado Federal - PT,200,55,85,0,-25,10,-13,312,711846,SP
jose wellington roberto (wellington roberto),Deputado Federal - PR,200,-5,-30,0,0,-20,-42,103,273468,PB
alfredo helio syrkis (alfredo sirkis),Deputado Federal - PSB,200,35,20,0,-25,10,-9,231,263807,RJ
luiz gonzaga patriota (gonzaga patriota),Deputado Federal - PSB,200,60,-45,0,0,-10,-96,109,578797,PE
marcelo costa e castro (marcelo castro),Deputado Federal - PMDB,200,-10,-45,0,-25,-10,-75,35,455981,PI
eduardo henrique da fonte de albuquerque silva (eduardo da fonte),Deputado Federal - PP,200,-20,-15,0,0,10,-85,90,2683887,PE
salvador zimbaldi filho (salvador zimbaldi),Deputado Federal - PROS,200,35,15,0,0,-30,18,238,380830,SP
paulo sergio paranhos de magalhaes (paulo magalhaes),Deputado Federal - PSD,200,35,-35,0,-250,0,70,20,385349,BA
luiza erundina de sousa (luiza erundina),Deputado Federal - PSB,200,50,-5,0,-25,10,-150,80,175627,SP
miro teixeira (miro teixeira),Deputado Federal - PROS,200,0,70,0,0,0,-95,175,720735,RJ
renato simoes (renato simoes),Deputado Federal - PT,200,-30,80,0,0,20,-26,244,597528,SP
edson bez de oliveira (edinho bez),Deputado Federal - PMDB,200,70,-50,0,-25,20,-71,144,549714,SC
manuel rosa da silva (manuel rosa neca),Deputado Federal - PR,200,40,95,0,-325,0,-7,3,51760,RJ
jose carlos leao de araujo (jose carlos araujo),Deputado Federal - PSD,200,70,-40,0,0,0,-21,209,761384,BA
esperidiao amin helou filho (esperidiao amin),Deputado Federal - PP,200,70,15,0,-125,-10,71,221,203290,SC
ataides de oliveira (ataides oliveira),Senador - PROS,200,Nao disponivel,75,10,0,0,37,322,815669,TO
antonio duarte nogueira junior (duarte nogueira),Deputado Federal - PSDB,200,30,-5,-20,0,-20,161,346,1854736,SP
julio cesar de carvalho lima (julio cesar),Deputado Federal - PSD,200,50,-40,0,-175,0,-10,25,409949,PI
roberto egidio balestra (roberto balestra),Deputado Federal - PP,-,-,-,-,-,-,-,NR,2162309,GO
